time,Bx,By,Bz,BT,point
3.857639,-48.8184,2.641400000000001,-30.271800000000006,57.50450000000001,21
3.867691,-48.858000000000004,2.636,-30.235900000000008,57.51890000000001,21
3.884178,-48.8907,2.6312,-30.201300000000003,57.52820000000001,21
3.887516,-48.9153,2.6269000000000005,-30.16870000000001,57.53160000000001,21
3.899829,-48.9286,2.621400000000001,-30.139900000000004,57.52730000000001,21
3.907338,-48.935500000000005,2.6185,-30.119900000000005,57.522400000000005,21
3.917498,-48.93480000000001,2.6200000000000006,-30.108100000000004,57.5156,21
3.927502,-48.92790000000001,2.627700000000001,-30.105100000000004,57.5084,21
3.937674,-48.92400000000001,2.6409000000000007,-30.111400000000003,57.509000000000015,21
3.947637,-48.930600000000005,2.6572,-30.120900000000002,57.52030000000001,21
3.957407,-48.95150000000001,2.6698,-30.1342,57.545600000000015,21
3.967536,-48.98500000000001,2.6735,-30.1544,57.58470000000002,21
3.977431,-49.02790000000001,2.6691000000000003,-30.1796,57.63410000000002,21
3.987407,-49.07820000000001,2.6534999999999997,-30.211000000000006,57.69280000000002,21
3.997556,-49.13670000000001,2.6272,-30.246800000000007,57.76030000000002,21
4.007303,-49.20030000000001,2.5877000000000003,-30.278800000000004,57.82960000000002,21
4.017309,-49.26270000000001,2.5381000000000005,-30.308800000000005,57.896400000000014,21
4.027093,-49.31760000000001,2.4798000000000004,-30.343700000000005,57.95910000000001,21
4.037088,-49.35950000000001,2.4204000000000003,-30.381100000000004,58.012,21
4.048203,-49.38090000000001,2.3648000000000007,-30.417800000000003,58.0473,21
4.057084,-49.3849,2.3185000000000007,-30.454400000000007,58.0681,21
4.067198,-49.3751,2.2904,-30.484800000000003,58.0748,21
4.077087,-49.355900000000005,2.2841000000000005,-30.510200000000008,58.07170000000001,21
4.087117,-49.32990000000001,2.3022000000000005,-30.535000000000004,58.0634,21
4.097304,-49.30080000000001,2.3427000000000007,-30.55660000000001,58.05180000000001,21
4.107096,-49.269800000000004,2.4032000000000004,-30.57640000000001,58.0384,21
4.117043,-49.24070000000002,2.477500000000001,-30.59510000000001,58.0266,21
4.127054,-49.22340000000001,2.564300000000001,-30.60950000000001,58.0232,21
4.139086,-49.21550000000001,2.6529000000000007,-30.62200000000001,58.02690000000001,21
4.147121,-49.22120000000001,2.7396000000000003,-30.639600000000012,58.044800000000016,21
4.157169,-49.23490000000001,2.8208000000000006,-30.66300000000001,58.072400000000016,21
4.167186,-49.25290000000001,2.8884000000000007,-30.69520000000001,58.10770000000001,21
4.177209,-49.27210000000001,2.936200000000001,-30.73870000000001,58.14930000000001,21
4.187222,-49.288700000000006,2.9635000000000007,-30.789,58.191500000000005,21
4.19717,-49.302600000000005,2.9736000000000002,-30.849500000000006,58.23600000000001,21
4.207197,-49.31080000000001,2.9670000000000005,-30.9224,58.28160000000001,21
4.222604,-49.3158,2.9462,-31.0059,58.32960000000001,21
4.227538,-49.313900000000004,2.9143,-31.095700000000004,58.37450000000001,21
4.23823,-49.31,2.88,-31.19,58.42000000000001,21
3.134441,-47.69,5.750000000000001,-36.62,60.39999999999999,22
3.144445,-47.75919999999999,5.8146,-36.5899,60.443299999999994,22
